id;adresse_email;code_statut;date_statut;code_usage_email
1;knowingly;tabulate;2025-04-02;yet thorny
2;patroller;quash;2025-04-01;flight
3;behind;dim drat ah;2025-04-01;culminate
4;settler oof really;apropos fragrant;2025-04-01;strictly off
5;versus wetly;male front;2025-04-01;meanwhile carp promptly
6;barring junior;cleverly;2025-04-01;weary furthermore amongst
7;bemuse;vestment brr;2025-04-01;showboat
8;deliberately dearly grounded;plain;2025-04-01;how
9;hence;eek;2025-04-01;quit academics
10;instead;scuttle among bus;2025-04-01;fun libel
